id,scheduled_at,platform,song,imagery,imagery_url,clip_url,text,drafts,reply_text,x_media_key,media_key,approved,execution_mode,post_type,desired_privacy
FP-AUTO-257,2026-06-05T10:15:00-04:00,X,I Learned It All in Fifteen Seconds,Spotify launch + remastered cover,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,,"First Lily Roo single is live. Fifteen seconds, full feelings, Spotify, Apple Music, and YouTube Music.","First Lily Roo single is live. Fifteen seconds, full feelings, Spotify, Apple Music, and YouTube Music.||I Learned It All in Fifteen Seconds is streaming now. The cover got remastered because the tiny room deserved a cleaner alibi.||live now. i learned it all in fifteen seconds and somehow still have homework.",Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-cover,no,auto,image,
FP-AUTO-259,2026-06-05T20:40:00-04:00,TikTok,I Learned It All in Fifteen Seconds,Launch clip + streaming CTA,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,https://www.lilyroo.com/assets/ig/01_i_learned_it_all_60s.mp4,I learned it all in fifteen seconds and somehow still have homework. Streaming now.,I learned it all in fifteen seconds and somehow still have homework. Streaming now.||A world of strangers in my phone. Very educational. Very concerning. Now streaming.||First single is live. Remastered art. Same emotional damage report.,Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-60s,no,auto,video,PUBLIC_TO_EVERYONE
FP-AUTO-260,2026-06-06T11:20:00-04:00,Facebook,I Learned It All in Fifteen Seconds,Launch story + remastered art,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,,"I Learned It All in Fifteen Seconds is now Lily Roo's first single. The song is about how fast the feed teaches you to feel, and the remastered cover gives that tiny-room moment a cleaner frame.","I Learned It All in Fifteen Seconds is now Lily Roo's first single. The song is about how fast the feed teaches you to feel, and the remastered cover gives that tiny-room moment a cleaner frame.||The first Lily Roo single is live now. A cake with one good hand. A soldier coming home. A haircut. A subway heartbreak. Fifteen seconds later, somehow it stays.||Streaming now, with remastered album art because even a small song deserves to arrive clearly.",Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-cover,no,auto,image,
FP-AUTO-262,2026-06-07T10:45:00-04:00,X,I Learned It All in Fifteen Seconds,Launch weekend follow-up,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,,Every story has a filter on it. Still rude when it works. First single is live.,"Every story has a filter on it. Still rude when it works. First single is live.||The feed taught me empathy and then served me an ad for shoes. Anyway, the single is streaming.||Remastered cover art, Spotify, Apple Music, and YouTube Music, tiny song with large receipt energy.",Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-cover,no,auto,image,
FP-AUTO-258,2026-06-23T10:00:00+08:00,Instagram,I Learned It All in Fifteen Seconds,Launch cover art spotlight,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,,"The first Lily Roo single is live, and the cover art has been remastered into its proper tiny-room glow.","The first Lily Roo single is live, and the cover art has been remastered into its proper tiny-room glow.||The phone taught me heartbreak at unsafe speed. Naturally I made it a song, then gave the cover a cleaner master.||I Learned It All in Fifteen Seconds is streaming now. Remastered cover art. Same little room. Sharper evidence.",Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-cover,no,auto,image,
FP-AUTO-264,2026-06-23T10:00:00+08:00,TikTok,I Learned It All in Fifteen Seconds,Second launch clip angle,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,https://www.lilyroo.com/assets/media/01_i_learned_it_all_60s_tiktok.mp4?fresh=6cb3941d2,Swipe away before the pain sets in. Cute system we built. Streaming now.,"Swipe away before the pain sets in. Cute system we built. Streaming now.||The first single is live and the cover art got remastered, so the phone is officially too powerful.||Fifteen seconds, full feelings, remastered cover art. Streaming now.",Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-60s,no,auto,video,PUBLIC_TO_EVERYONE
FP-PLAN-TWELVE-DOLLARS-FACEBOOK,2026-06-23T11:20:00-04:00,Facebook,Twelve Dollars,Twelve Dollars promo coverage,https://www.lilyroo.com/assets/albums/twelve-dollars/art/04-twelve-dollars.jpg,,Twelve Dollars is part of the Lily Roo archive now. The remastered version is up.,"Twelve Dollars is live in the Lily Roo archive. The remastered videos are up, the playlist is public, and the stage finally has the right kind of trouble on it.||A small amount of money, a large amount of stage light. Full signal on YouTube.||Twelve Dollars is part of the Lily Roo archive now. The remastered version is up.",Full playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXVOB41L0JEae6LNTZtrg58n,,twelve-dollars-cover,no,auto,image,
FP-AUTO-263,2026-06-24T10:00:00+08:00,Instagram,I Learned It All in Fifteen Seconds,Remastered art detail,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,,Remastered album art for a song about learning too much too fast. The room is still small. The evidence is cleaner.,Remastered album art for a song about learning too much too fast. The room is still small. The evidence is cleaner.||The single is streaming now. I gave the cover the big-frame treatment because apparently feelings need packaging.||Fifteen seconds is apparently enough time to borrow someone else's heartbreak and forget your own grocery list. Streaming now.,Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-cover,no,auto,image,
FP-AUTO-261,2026-06-24T10:00:00+08:00,YouTube,I Learned It All in Fifteen Seconds,Launch community post,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,https://www.lilyroo.com/assets/ig/01_i_learned_it_all_60s.mp4,"New transmission: I Learned It All in Fifteen Seconds is live. Remastered cover art, same suspicious amount of feeling. #Shorts","New transmission: I Learned It All in Fifteen Seconds is live. Remastered cover art, same suspicious amount of feeling.||The first Lily Roo single is now streaming. If this signal found you here first, the tiny room has officially expanded.||I Learned It All in Fifteen Seconds is live now. Stream it, share it, and the remastered version is up.",Stream: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube: https://www.youtube.com/@lilyroo.artist | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-60s,no,auto,video,public
FP-WIN-ANALOG-MYTH-X-RELEASE-ART-IMAGE-STORY-HOOK,2026-06-24T10:15:00-04:00,X,Analog Myth,Analog Myth winner-format follow-up,https://www.lilyroo.com/assets/albums/analog-myth/art/03-analog-myth.jpg,,Analog Myth is part of the Lily Roo archive now. The remastered version is up.,"Analog Myth is part of the Lily Roo archive now. The remastered version is up.||Analog Myth is the clock lying politely while the songs keep receipts. Full remastered playlist is live.||Time broke, so Lily Roo made an album out of the pieces. The archive version is live now.",Full playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXUJlhtullPqTPWQdTcS1fy0,,analog-myth-cover,yes,auto,image,
