experiment_format,post_id,platform,song,post_url,published_date,source_row,views,likes,comments,shares,saves,subs_delta,evidence_note
Release-art image + story hook,FP-AUTO-266,X,Brain Rot,https://x.com/i/web/status/2071039677357003221,2026-06-29,21,,,,,,,
Release-art image + story hook,FP-AUTO-271,X,Every Pearl in Carmel,https://x.com/i/web/status/2071402084403118566,2026-06-29,19,,,,,,,
YouTube Community archive/playlist CTA,FP-PLAN-ANALOG-MYTH-YOUTUBE-COMMUNITY,YouTube,Analog Myth,https://youtu.be/404PvtuXnqY,2026-06-29,28,,,,,,,
Release-art image + story hook,FP-PLAN-TWELVE-DOLLARS-X,X,Twelve Dollars,https://x.com/i/web/status/2068336870803587325,2026-06-29,24,,,,,,,
Short video clip + platform-native CTA,FP-SHORT-ANALOG-MYTH-YOUTUBE-SHORTS-CTA,YouTube,Analog Myth,https://youtu.be/lbT4adNE-cE,2026-06-29,26,,,,,,,
Short video clip + platform-native CTA,FP-SHORT-TWELVE-DOLLARS-YOUTUBE-SHORTS-CTA,YouTube,Twelve Dollars,https://youtu.be/0d0PXb_h4FY,2026-06-29,27,,,,,,,
Release-art image + story hook,FP-WIN-ANALOG-MYTH-X-RELEASE-ART-IMAGE-STORY-HOOK,X,Analog Myth,https://x.com/i/web/status/2069786481556635841,2026-06-29,23,,,,,,,
Release-art image + story hook,FP-AUTO-265,Facebook,I Learned It All in Fifteen Seconds,https://www.facebook.com/903693509504290_122120594493249470,2026-06-30,33,,,,,,,
Release-art image + story hook,FP-AUTO-268,Facebook,Brain Rot,https://www.facebook.com/903693509504290_122120594409249470,2026-06-30,34,,,,,,,
Release-art image + story hook,FP-AUTO-273,Facebook,Every Pearl in Carmel,https://www.facebook.com/903693509504290_122120594571249470,2026-06-30,32,,,,,,,
Release-art image + story hook,FP-AUTO-276,X,The Other One's Charging,https://x.com/i/web/status/2071764617978950017,2026-06-30,38,,,,,,,
Release-art image + story hook,FP-AUTO-278,Facebook,The Other One's Charging,https://www.facebook.com/903693509504290_122120594715249470,2026-06-30,30,,,,,,,
Release-art image + story hook,FP-WIN-ANALOG-MYTH-FACEBOOK-RELEASE-ART-IMAGE-STORY-HOOK,Facebook,Analog Myth,https://www.facebook.com/903693509504290_122120594301249470,2026-06-30,36,,,,,,,
Release-art image + story hook,FP-AUTO-281,X,Twelve Dollars,https://x.com/i/web/status/2072127000391905619,2026-07-01,42,,,,,,,
